city,tarif_game
москва,366
санкт-петербург,188
новосибирск,133
екатеринбург,113
нижний новгород,102
пермь,82
ростов-на-дону,79
краснодар,74
омск,66
самара,62
воронеж,60
волгоград,58
саратов,57
красноярск,56
иркутск,46
тюмень,44
челябинск,43
челябинский,43
смоленск,42
чита,39
барнаул,39
архангельск,38
тула,36
липецк,35
хабаровск,35
ярославль,33
ульяновск,33
мурманск,31
ставрополь,31
сургут,31
астрахань,29
тольятти,26
киров,25
уфа,25
балашиха,25
калуга,25
чебоксары,24
брянск,24
люберцы,24
сыктывкар,23
всеволожский район,23
тамбов,22
казань,22
оренбург,22
томск,22
череповец,22
братск,21
калининград,20
владимир,19
анапа,19
владивостокский,19
курган,18
кемерово,18
владивосток,18
улан-удэ,18
кемеровский,18
белгород,17
курск,17
тверь,17
владикавказ,17
иваново,16
орёл,16
псков,16
пенза,16
северодвинск,16
шахты,16
сызрань,16
ангарск,16
ангарский,16
новокузнецк,15
нижневартовск,15
рыбинск,15
ленинский район,15
одинцовский район,15
новокузнецкий,15
великий новгород,14
благовещенск,14
таганрог,14
черкесск,14
ржев,14
балаково,14
прокопьевск,14
комсомольск-на-амуре,14
балаковский район,14
прокопьевский,14
саранск,13
кострома,12
ижевск,12
ачинск,12
бердск,12
березники,12
королёв,12
алексеевский район,12
березниковский,12
сочи,11
дзержинск,11
абакан,11
барабинск,11
раменский район,11
ейский район,11
кавказский район,11
барабинский район,11
йошкар-ола,10
ханты-мансийск,10
берлин,10
вязьма,10
армавир,10
каменск-уральский,10
вяземский район,10
тимашевский район,10
павловский район,10
петрозаводск,9
нальчик,9
петропавловск-камчатский,9
зеленоград,9
магнитогорск,9
старый оскол,9
коломна,9
подольск,9
раменское,9
нижний тагил,9
губкинский,9
минусинск,9
качканар,9
сибай,9
полевской,9
горловка,9
коломенский,9
тихорецкий район,9
качканарский,9
старооскольский,9
магнитогорский,9
петрозаводский,9
новочеркасск,8
бийск,8
элиста,8
одинцово,8
всеволожск,8
камышин,8
