city,rostelecom_tarif_yandex
москва,13263
санкт-петербург,7459
нижний новгород,3328
новосибирск,2613
пермь,2463
екатеринбург,2192
краснодар,1845
ростов-на-дону,1787
омск,1674
воронеж,1489
волгоград,1205
челябинск,1201
челябинский,1201
тюмень,1185
самара,1092
иркутск,1062
красноярск,1041
липецк,1016
тула,968
калуга,882
рязань,877
киров,875
барнаул,827
ижевск,816
чебоксары,815
брянск,810
саратов,750
архангельск,721
тамбов,655
пенза,653
смоленск,640
мурманск,623
ульяновск,614
ярославль,596
всеволожский район,593
владивостокский,581
владивосток,565
ставрополь,555
тверь,541
уфа,540
владимир,535
томск,532
тольятти,532
белгород,528
балашиха,527
сочи,505
кемерово,502
кемеровский,502
калининград,500
вологда,485
сыктывкар,482
курск,455
иваново,453
череповец,444
орёл,442
казань,442
улан-удэ,427
хабаровск,413
дзержинск,402
люберцы,402
одинцовский район,400
подольск,399
оренбург,390
мытищи,366
пушкинский район,335
йошкар-ола,335
чита,329
курган,328
кострома,321
магнитогорск,314
магнитогорский,314
шахты,312
саранск,307
берлин,296
красногорск,294
сургут,287
новороссийск,286
новокузнецк,284
новокузнецкий,284
северодвинск,273
химки,268
таганрог,267
королёв,258
анапа,239
ленинский район,236
петрозаводск,234
петрозаводский,234
братск,231
раменский район,229
выборгский район,229
ейский район,226
владикавказ,225
березники,222
березниковский,222
ангарск,218
ангарский,218
астрахань,217
нижний тагил,216
новочеркасск,215
богородский,211
дмитровский,205
псков,201
абакан,201
коломна,199
коломенский,199
гатчинский район,198
нальчик,197
армавир,196
обнинск,195
петропавловск-камчатский,194
сергиево-посадский район,189
великий новгород,186
истра,182
одинцово,174
сызрань,174
комсомольск-на-амуре,172
орехово-зуево,172
дрезден,169
волгодонск,166
батайск,164
чайковский район,162
якутск,161
старый оскол,159
старооскольский,159
воскресенский район,158
ейск,157
солнечногорский район,156
ступино,154
наро-фоминский,153
бийск,152
ачинск,149
камышин,144
новочебоксарск,143
елец,142
пушкино,142
геленджик,142
чайковский,141
прокопьевск,138
прокопьевский,138
чехов,136
ханты-мансийск,134
ухта,134
миасс,134
миасский,134
норильск,133
серпухов,132
саров,132
рубцовск,132
благовещенск,130
новокуйбышевск,130
вяземский район,129
кировский район,128
электросталь,128
балахна,126
балахнинский район,126
энгельсский район,126
город балахна,126
лобня,125
сарапул,124
мичуринск,123
сергиев посад,122
кавказский район,122
муром,121
новомосковск,121
волжский,121
павловский посад,121
тихорецкий район,121
воскресенск,120
рыбинск,120
воскресенское,120
балаковский район,119
набережные челны,117
кисловодск,117
реутов,117
новотроицк,117
каменск-шахтинский,115
балаково,115
тобольск,114
ивантеевка,112
щёлковский район,112
тимашевский район,111
раменское,109
азов,109
россошанский район,109
малоярославецкий район,109
выборг,106
выборгское,106
вязьма,105
шебекинский район,104
ногинск,103
великие луки,103
находка,102
находкинский,102
соликамск,102
дмитров,101
кирово-чепецк,101
павловский район,101
нижневартовск,100
златоуст,100
боровичский район,100
златоустовский,100
зеленоград,99
кропоткин,99
туапсинский район,99
балашовский район,99
лиски,98
всеволожск,98
арзамас,98
копейск,98
новоалтайск,98
можайский,98
лискинский район,98
арзамасский район,98
кстовский район,98
копейский,98
всеволожское,98
егорьевск,97
магадан,96
первоуральск,95
балашов,94
энгельс,94
уссурийск,94
уссурийский,94
ковров,93
боровичи,92
тосненский район,92
майкоп,91
белокалитвинский район,90
новый уренгой,89
колпинский район,89
волховский район,89
белореченский район,89
крымский район,88
стерлитамак,85
яковлевский район,85
рузский,84
киришский район,84
клин,83
губкин,82
кинешма,82
гатчина,82
воркута,82
димитровград,82
